I need an answer.	Necesito una respuesta.
Tom got bored.	Tom se aburrió.
It isn't expensive.	No es caro.
Help us, Tom.	Ayúdanos, Tom.
I'm not complaining.	Yo no me quejo.
She is quiet.	Está tranquila.
Tom wouldn't approve.	Tom no lo aprobaría.
It's me!	Soy yo.
Nobody hurt me.	Nadie me lastimó.
They weren't there.	Ellos no estaban allá.
When did you get back?	¿Cuándo volviste?
You're in danger.	Estás en peligro.
I almost died.	Casi morí.
Nothing can stop me.	Nada puede pararme.
You're fine.	Ustedes están bien.
Here's my receipt.	Aquí está mi recibo.
I'm young, too.	Yo también soy joven.
Close the window.	Cierra la ventana.
I'm still single.	Sigo soltero.
You're too naive.	Eres demasiado ingenuo.
I need to rest.	Necesito descansar.
I want more information.	Quiero más información.
Aren't I invited?	¿No estoy invitada?
He's my father.	Él es mi padre.
Thanks a lot.	Te lo agradezco mucho.
Feed the bird.	Alimenta al pájaro.
I have friends.	Tengo amigos.
Count to thirty.	Cuente hasta treinta.
Stand up!	¡De pie!
I'm very cold.	Tengo mucho frío.
Is that so?	¿Es así?
I'm almost sure.	Estoy casi segura.
They look great.	Están estupendos.
Control yourself!	¡Pará la mano!
Tom drinks beer.	Tom toma cerveza.
Are you upset?	¿Está usted molesto?
Give me the book.	Dame el libro.
Tell us more.	Dígannos más.
I felt uncomfortable.	Me sentí incómodo.
You're my enemy.	Sos mi enemigo.
Tom refused to budge.	Tom rehusó ceder.
Is it clean?	¿Está limpia?
I count on Tom.	Cuento con Tom.
Write me a message.	Escríbeme un mensaje.
It's started already.	Ya empezó.
Did you find everything?	¿Conseguiste todo?
Come on down.	Baje.
I heard various opinions.	Oí diversas opiniones.
She's a beauty.	Ella es una belleza.
What is your name?	¿Cómo se llama?
They kept running.	Continuaron corriendo.
Feel this.	Tentad esto.
I accept gifts.	Recibo regalos.
Go there with me.	Ve allí conmigo.
Where's the beach?	¿Dónde queda la playa?
Don't bother me.	No me moleste.
What will you wear?	¿Qué llevarás puesto?
I'm up.	Estoy levantado.
Who is there?	¿Quién está ahí?
You're patient.	Eres paciente.
I need to protect myself.	Necesito protegerme.
Follow the rules.	¡Seguir las reglas!
Tom drank milk.	Tom tomó leche.
Get some sleep.	Descansa un poco.
Consult your doctor.	Consulta a tu doctor.
It is raining now.	Ahora está lloviendo.
I am a man.	Soy una persona.
They already know.	Ya saben.
What is the Internet?	¿Qué es Internet?
It was confidential.	Era confidencial.
He takes vitamins.	Él toma vitaminas.
It's really clean.	Está realmente limpio.
You're my problem.	Tú eres mi problema.
I was ill yesterday.	Ayer estaba enferma.
Consider the facts.	Considerá los hechos.
Is everyone here?	¿Están todos aquí?
What were they after?	¿Qué estaban buscando?
I'm not insane.	No estoy loca.
Tom was babbling.	Tom estaba chismorreando.
There were two abstentions.	Dos se abstuvieron.
It freaks me out.	Me asusta.
Tom cooked breakfast.	Tomás preparó el desayuno.
You're finished already.	Ya terminó.
We have hope.	Tenemos esperanza.
No one answered.	Nadie respondió.
We're friends now.	Ahora somos amigos.
That sounds pretty stupid.	Suena bastante estúpido.
They were spending money.	Ellos gastaban dinero.
I need them.	Los necesito.
Teach me French.	Enséñame francés.
It's very symbolic.	Es muy simbólico.
You're hiding something.	Estás ocultando algo.
I totally agree.	Estoy totalmente de acuerdo.
We're gardeners.	Somos jardineros.
Tom is a soldier.	Tom es soldado.
You're back.	Estás de regreso.
Tom decided to protest.	Tom decidió protestar.
They're escaping.	Ellas están escapando.
Tom might cry.	Tom podría llorar.
It's true.	Es verdad.
Did you invite him?	¿Le invitasteis?
They're insane.	Se les va la pinza.
We need your key.	Necesitamos tu llave.
Where's the toilet?	¿Dónde está el servicio?
Stay right there.	No te muevas.
Turn the volume down.	Baje el volumen.
Who'll fight?	¿Quién luchará?
They're enjoying themselves.	Ellas se divierten.
Let's chat.	Charlemos.
I hope you win.	Espero que ganes.
We love the system.	Amamos el sistema.
Everyone was satisfied.	Todas quedaron satisfechas.
War broke out.	La guerra estalló.
He hung up.	Él cortó.
I bought many notebooks.	Compré muchos cuadernos.
You can study here.	Podéis estudiar aquí.
Attendance is mandatory.	La asistencia es obligatoria.
Are you on Facebook?	¿Está en Facebook?
You should make notes.	Deberías tomar apuntes.
You're never satisfied.	Jamás estás satisfecho.
Life is unfair.	La vida es injusta.
I'm seeing ghosts.	Estoy viendo fantasmas.
It's a song.	Esto es una canción.
I prefer to walk.	Prefiero caminar.
You mustn't lie.	No debes mentir.
I'd like to see you.	Quisiera verlo.
She scolded him.	Lo retó.
I hate that movie.	Odio esa película.
Tom is adventurous.	Tom es aventurero.
Breakfast is served.	La comida está servida.
Did you vote yet?	¿Ya has votado?
I need a raise.	Necesito un aumento.
I know things.	Yo sé cosas.
I will support him.	Yo lo apoyaré.
Be objective.	Sea objetivo.
Watch my fingers.	Mirá mis dedos.
You must stay.	Tenéis que quedaros.
You're important.	Eres importante.
I didn't eat yesterday.	Ayer no comí.
Does that work?	¿Eso funciona?
You should've waited.	Debiste esperar.
What is happiness?	¿Qué significa la felicidad?
Give me a gun.	Dame una pistola.
How about you?	¿Qué hay de ti?
Tom likes me.	Le gusto a Tom.
Roses have thorns.	Las rosas tienen espinas.
You're too laid back.	Eres muy perezoso.
It could be anyone.	Podría ser cualquiera.
Ignore it.	Ólvidalo.
That is essential.	Eso es indispensable.
No one moved.	Nadie se movió.
Let's play something.	Vamos a jugar.
I'm very hot.	Estoy muy cachondo.
I'm from Australia.	Soy de Australia.
I feel powerless.	Me siento impotente.
They continued walking.	Ellos siguieron caminando.
Bring it here.	Tráelo aquí.
I hate the rules.	Odio las reglas.
They came in.	Ellas entraron.
We broke up.	Nos separamos.
We're watching.	Estamos observando.
Everyone went to sleep.	Todos se durmieron.
I can survive alone.	Puedo sobrevivir solo.
When did it stop raining?	¿Cuándo escampó?
The birds sang.	Los pájaros cantaban.
You're very skeptical.	Sos muy escéptica.
I feel tired.	Me siento cansado.
I'll be there shortly.	Estaré allí pronto.
That's mine.	Ése es mío.
He scolded her.	Él la riñó.
I'm back.	Estoy de vuelta.
Two coffees, please.	Dos cafés, por favor.
Who's thirsty?	¿Quién tiene sed?
You're clever.	Sos listo.
You're probably wrong.	Probablemente estés equivocado.
Tom failed horribly.	Tom fracasó horriblemente.
Stand by.	Prepárate.
What's next?	¿Qué sigue?
What are you celebrating?	¿Qué estás celebrando?
What's your temperature?	¿Cuál es tu temperatura?
I went hiking.	Hice senderismo.
Are you a believer?	¿Eres un creyente?
I'm a perfectionist.	Soy un perfeccionista.
They're back.	Ellos están de regreso.
That's illegal.	Eso es ilegal.
You are under oath.	Está bajo juramento.
You seem unperturbed.	Pareces despreocupado.
Do you guys need anything?	¿Necesitan algo?
Where's my room?	¿Dónde está mi cuarto?
I'm not old.	No estoy viejo.
Are you going?	¿Vas a ir?
We got many grapes.	Obtuvimos muchas uvas.
I got left behind.	Me dejaron atrás.
I feel lonely.	Me siento sola.
That should be enough.	Eso debería bastar.
Kiss Tom.	Besa a Tomás.
Put your mask on.	Ponte la mascarilla.
Show your cards.	Muestra tus cartas.
Let's take a taxi.	Tomemos un taxi.
Tom looks sick.	Tom parece enfermo.
Are we meeting tomorrow?	¿Quedamos para mañana?
Can you guarantee that?	¿Puedes garantizar eso?
I'll be back.	Volveré.
I don't want one.	No quiero una.
Keep moving.	Sigue moviéndote.
Don't get fat.	No engordes.
I play the oboe.	Yo toco oboe.
You're kidding me.	Me estás embromando.
Summer is coming.	Se acerca el verano.
Tom guessed wrong.	Tom adivinó mal.
It was night.	Era de noche.
Let me leave!	¡Déjame salir!
Tom crashed.	Tom tuvo un accidente.
I'm married.	Estoy casado.
Is Tom left-handed?	¿Es Tom zurdo?
Just make this stop.	Haz que pare.
Raise your hands.	Levanta tus manos.
Where are you guys?	¿Dónde están?
Control yourself!	¡Controlate!
I have one child.	Tengo un hijo.
I hated Tom.	Yo odiaba a Tom.
I made some inquiries.	Hice varias preguntas.
That's the rule.	Eso es la norma.
Your shoes stink.	Tus zapatos hieden.
Tom winked.	Tom lanzó un guiño.
You guys are idiots.	Ustedes son idiotas.
They want this.	Quieren esto.
Tom was abducted.	Tom fue raptado.
Help!	¡Socorro! ¡Auxilio!
I can't sleep.	No puedo dormir.
Do you travel a lot?	¿Viajáis mucho?
That's hers.	Es de ella.
They're weak.	Son débiles.
Do you know why?	¿Sabés por qué?
She's my wife.	Ella es mi esposa.
You should know yourself.	Deberías conocerte.
They lost again.	Perdieron de nuevo.
Roll up your sleeve.	Arremángate el brazo.
I'm easy.	Soy bastante facilón.
Speak French.	Hable francés.
There you are.	Ahí estás.
Don't trust Tom.	No confíes en Tom.
Everybody danced.	Todo el mundo bailaba.
We'll hide it.	Nosotros lo esconderemos.
Tom ate something.	Tom comió algo.
Get yourselves cleaned up.	Id a lavaros.
That's cyanide.	Eso es cianuro.
Stand back!	¡Retrocede!
Is anybody hurt?	¿Se lastimó alguien?
I'll reconsider the matter.	Reconsideraré el asunto.
Everybody knows.	Todos lo saben.
She might come.	Es posible que venga.
Do it now.	Hazlo inmediatamente.
Does your dog bite?	¿Muerde tu perro?
What a hassle!	¡Menudo jaleo!
Do it later.	Hazlo al ratito.
Tom isn't dumb.	Tom no es estúpido.
Here he is!	¡Helo aquí!
Where are we going?	¿Adónde vamos?
We won't forgive you.	No os perdonaremos.
Duck your head.	Agacha tu cabeza.
Tom sneezed violently.	Tom estornudó con fuerza.
Don't trust him.	No confiéis en él.
I'm very tired.	Estoy muy cansado.
Shut your trap!	¡Cállate el pico!
It took time.	Tomó tiempo.
The rain stopped.	Paró de llover.
Tom does that.	Tom lo hace.
Tom understood Mary.	Tom comprendió a Mary.
What's the time now?	¿Qué hora es?
Do we need it?	¿Lo necesitamos?
Just hang in there.	Un momento.
You're decisive.	Eres decidido.
Who cheered?	¿Quién vitoreó?
You are big.	Sos grande.
We’ll be there tomorrow.	Estaremos allí mañana.
It's quite possible.	Es bastante posible.
How do I begin?	¿Cómo empiezo?
Get down from there.	Bájate de ahí.
Is Tom ready?	¿Tom está preparado?
I won't deny it.	No lo negaré.
I am a foreigner.	Soy un extranjero.
I can't help you.	No puedo ayudarte.
Nobody wanted to come.	Nadie quiso venir.
You're so adorable.	Eres tan adorable.
I was mildly disappointed.	Estaba levemente decepcionado.
It wasn't his.	No era de él.
You won't be alone.	No estarás solo.
Are you bored?	¿Te aburres?
Make it stop.	Haz que se detenga.
I'm looking for something.	Estoy buscando algo.
It's my book.	Es mi libro.
Perhaps that's true.	Quizás sea cierto.
You are so stupid.	Sos muy estúpido.
A car drove past.	Pasó un auto.
He broke the law.	Infringió la ley.
Stay with Tom.	Quédate con Tom.
Tom cared.	Tom se preocupaba.
Tom will love it.	Tom lo amará.
This is easy.	Esto es sencillo.
It's also cheaper.	Además es más barato.
No one's listening.	Nadie está escuchando.
Lions run fast.	Los leones corren rápido.
I managed to escape.	Logré escapar.
Can you teach me?	¿Me puedes enseñar?
I'll sign it tomorrow.	Lo firmaré mañana.
They're laughing.	Se están riendo.
Open your suitcase.	Abra su valija.
I am eating fruit.	Estoy comiendo fruta.
Write an answer.	Escribid una respuesta.
There are no limits.	No hay límite.
I never said anything.	Nunca dije nada.
Are you Canadian?	¿Eres canadiense?
That's important.	Eso es importante.
Keep that in mind.	Tenedlo presente.
Someone called Tom.	Alguien llamó a Tom.
Tom grows turnips.	Tom cultiva rábanos.
How do you feel?	¿Cómo os sentís?
Talk to me!	¡Hablad conmigo!
He was elected president.	Fue elegido presidente.
Get dressed quickly.	Vístete rápido.
Does it include batteries?	¿Incluye pilas?
I'm not ignoring you.	No estoy ignorándote.
Tom was laughing.	Tom estaba riendo.
Stop gossiping.	Dejen de chismorrear.
I see my ship.	Veo mi barco.
I'm begging you.	Te estoy suplicando.
He wants the money.	Quiere el dinero.
How's your mother?	¿Cómo va tu madre?
It really works.	Realmente funciona.
Is Tom jealous?	¿Tom está celoso?
Is everything all right?	¿Está todo bien?
Everyone is special.	Todos son especiales.
Don't interfere.	No interfieras.
My shift's over.	Mi turno terminó.
She played basketball.	Ella jugó al baloncesto.
I'd rather walk.	Preferiría caminar.
I'm nervous.	Estoy nervioso.
I'll be sad.	Estaré triste.
They'll come.	Ellos vendrán.
Let him in.	Dejadlo entrar.
Aren't you hot?	¿No tiene calor?
Tom spoke calmly.	Tom hablaba con calma.
Good morning.	Buenos días.
There's no food left.	No queda comida.
You seem very tired.	Pareces muy cansada.
You're stalling.	Estás estancado.
Read this book.	Leed este libro.
Who are they fighting?	¿Contra quién pelean?
It was the same.	Era el mismo.
I can't sign in.	No puedo ingresar.
You have thirty messages.	Tienes treinta mensajes.
Do I know you?	¿Le conozco?
Enjoy the show.	Disfrute del espectáculo.
It's very good.	Es muy bueno.
Is it dangerous?	¿Es peligroso?
Forty people were present.	Acudieron cuarenta personas.
I'll have dinner.	Voy a cenar.
We were drunk.	Estábamos borrachos.
Thank you in advance.	Gracias en avance.
He appeared hungry.	Parecía estar hambriento.
He's innocent.	Es inocente.
Start again.	Vuelve a empezar.
We're journalists.	Somos periodistas.
Nothing impresses me.	Nada me impresiona.
I always eat out.	Siempre como afuera.
Humor Tom.	Divierte a Tom.
This should do it.	Este debería servir.
I want to go back.	Quiero volver.
You're with friends.	Usted está entre amigos.
I'm not yelling.	No estoy gritando.
Who spoke French?	¿Quién hablaba francés?
We're planting seeds.	Estamos plantando semillas.
Just let me finish.	Déjame terminar.
Sorry to interrupt you.	Perdón por interrumpirte.
Throw me the ball.	Tírame la pelota.
Are you alone now?	¿Ahora estás solo?
Where's your son?	¿Dónde está vuestro hijo?
That was unexpected.	Eso no estaba previsto.
Go get coffee.	Ve a traer café.
It's an apple.	Es una manzana.
Make yourself useful.	Hazte útil.
He disappeared.	Desapareció.
I finally gave up.	Al final abandoné.
I'm already rich.	Yo ya soy rico.
I was following orders.	Estaba siguiendo órdenes.
We should remain quiet.	Deberíamos hacer silencio.
I'm not dead.	No estoy muerta.
They danced.	Ellos bailaron.
Wipe your nose.	Límpiate la nariz.
It's finished now.	Ya terminó.
Thanks for joining us.	Gracias por unírtenos.
Get away from there.	Aléjate de allí.
How are you going?	¿Cómo vas?
Tom has a cough.	Tom tiene tos.
Are you an idiot?	¿Eres idiota?
Tom didn't know.	Tom no lo sabía.
Something smells good.	Algo huele bien.
I'll take one.	Cogeré uno.
I'm totally confused.	Estoy totalmente confundida.
Take this.	Toma esto.
The two smiled.	Los dos sonrieron.
You will be ignored.	Serás ignorado.
I want a glass.	Quisiera un vaso.
I have a visa.	Tengo un visado.
I didn't budge.	No cedí.
This is too much.	Esto es demasiado.
I'm still busy.	Todavía estoy ocupada.
I've earned it.	Me lo gané.
We broke up.	Rompimos.
He made it.	Lo hizo.
I like bread.	Me gusta el pan.
Who are you?	¿Quién sos?
Are you happy?	¿Sos feliz?
Life goes on.	La vida sigue.
I felt guilty.	Yo me sentí culpable.
You should stop that.	Deberías dejar eso.
I washed the sheets.	Lavé las sábanas.
It was a mouse.	Era un ratón.
You're clever.	Sos inteligente.
Tom congratulated Mary.	Tom felicitó a Mary.
Is it still raining?	¿Sigue lloviendo?
Hold on one second.	Espera un segundo.
Tom sat patiently.	Tomás se sentó pacientemente.
Tom wants evidence.	Tom quiere evidencias.
He can't sing.	No puede cantar.
Our boat capsized.	Nuestro bote zozobró.
They look happy.	Parecen contentas.
I prayed.	Recé.
We're making progress.	Estamos progresando.
Wish me luck.	¡Deséenme suerte!
You're the greatest.	Sos el mejor.
They smiled.	Sonrieron.
Let me do this.	Déjame hacer esto.
I need help.	Necesito ayuda.
Can you skate?	¿Puedes patinar sobre hielo?
That intrigued everybody.	Aquello intrigó a todos.
You are very smart.	Son muy inteligentes.
Tom is a designer.	Tom es diseñador.
The dog went away.	El perro huyó.
I'm a college student.	Soy universitario.
I followed Tom.	Seguí a Tom.
You may go.	Podéis ir.
Don't underestimate me.	No me subestimes.
Move on, Tom.	Prosigue, Tom.
Tie your shoelaces.	Átate los cordones.
I like cheese.	Me gusta el queso.
I do understand.	Sí que lo entiendo.
I totally forgot.	Me olvidé totalmente.
We kept quiet.	Nos quedamos en silencio.
You're kidding, right?	¿Estás bromeando, cierto?
I know French.	Yo sé francés.
We're watching you.	Le estamos observando.
Think about it.	Piénselo.
Ask around.	Pregunta en los alrededores.
I didn't wait.	No esperé.
I went there yesterday.	Fui ayer allí.
I'm the quickest.	Soy el más rápido.
We've got the key.	Tenemos la llave.
You're my father.	Tú eres mi padre.
That's typical.	Qué típico.
Girls are crazy.	Las chicas están locas.
How's your cold?	¿Cómo anda tu resfriado?
The bubble burst.	La pompa estalló.
He's very sick.	Está muy enfermo.
He passed away yesterday.	Falleció ayer.
I do notice it.	Lo noto.
Are you registered?	¿Estás registrada?
Don't get me wrong.	No me malentiendas.
We're in a hurry.	Tenemos prisa.
It is our destiny.	Es nuestro destino.
He's not in.	No está en casa.
How do you do?	¿Cómo están ustedes?
That was interesting.	Estuvo interesante.
I like couscous.	Me gusta el cuscús.
Tom phoned.	Tomás telefoneó.
What happened here?	¿Qué pasó aquí?
Give it to me.	Dádmelo.
Don't brake suddenly.	No frenes de repente.
I'm restless.	Soy intranquilo.
Tom hurt me.	Tom me hirió.
You're really wonderful.	Eres realmente maravillosa.
What should we say?	¿Qué deberíamos decir?
Do you speak French?	¿Hablás francés?
It'll be ready.	Estará listo.
Tom'll improve.	Tom mejorará.
Everybody hates them.	Todos los odian.
Hold still.	Mantente quieto.
Tom isn't normal.	Tom no es normal.
It's expensive.	Es caro.
Turn off the radio.	Apaga la radio.
Wait.	Espera.
You're both crazy.	Ambos estáis locos.
What time is it?	¿Qué hora es?
Hi.	Hola.
I ordered new furniture.	Encargué nuevos muebles.
I'm free tonight.	Estaré libre esta noche.
I need a vacation!	Necesito unas vacaciones.
Tom is confused.	Tomás está confundido.
Do you want more?	¿Quieres más?
I've just come back.	Acabo de volver.
You're wealthy.	Eres rico.
I'll assist you.	Yo te ayudo.
Do you play football?	¿Tú juegas fútbol?
We worked together.	Trabajamos juntos.
Tom swims.	Tom nada.
That's a book.	Eso es un libro.
Open the box.	Abra la caja.
Wake Tom up.	Despierta a Tom.
We're teachers.	Somos profesoras.
We've seen her.	Nosotros la vimos.
You have to do it.	Debes hacérselo.
That isn't French.	Eso no es francés.
Why do we dream?	¿Por qué soñamos?
Get to bed.	Vete a la cama.
This is unfortunate.	Esto es lamentable.
Let's try once again.	Intentemos otra vez.
Let's go together.	Vayámonos juntos.
Write an answer.	Escriban una respuesta.
Tom waited patiently.	Tom esperó pacientemente.
Nice shot!	¡Buen tiro!
Is that better?	¿Está mejor?
They didn't budge.	Ellos no cedieron.
We can try.	Podemos intentarlo.
Is Tom dead?	¿Tom está muerto?
I need a miracle.	Necesito un milagro.
You're surrounded.	Estás rodeado.
We are teachers.	Somos profesoras.
Is there something else?	¿Hay algo más?
That's dangerous.	Eso es peligroso.
Tom looks winded.	Tom parece sin aliento.
The worst is over.	Lo peor terminó.
It's Wednesday.	Estamos a miércoles.
Next person, please.	El siguiente, por favor.
Shouldn't you be listening?	¿No deberías escuchar?
Be careful!	¡Ten cuidado!
What do they do?	¿Qué hacen ellos?
Tom chased Mary.	Tom persiguió a Mary.
They're escaping.	Ellos se están escapando.
I speak from experience.	Hablo por experiencia.
I'll take him.	Me encargaré de él.
Tom has a girlfriend.	Tom tiene novia.
Hey, where's Tom?	¡Eh!, ¿dónde está Tom?
You're beautiful.	Sos hermosa.
Are you afraid?	¿Tienen miedo?
You were perfect.	Estuviste perfecta.
I recognized Tom.	Reconocí a Tom.
What's your secret?	¿Cuál es tu secreto?
Leave it for now.	Por ahora, déjalo.
Welcome home.	Bienvenida a casa.
We depend on you.	Dependemos de ti.
I'm on my way out.	Voy saliendo.
What're you drinking?	¿Qué estás bebiendo?
They voted no.	Ellos votaron que no.
I've waited for it.	Lo he esperado.
Come on inside.	Entra.
I'll be there tomorrow.	Estaré allí mañana.
Tom is picky.	Tomás es mañoso.
They're both dead.	Ambas están muertas.
Keep paddling.	Continúa remando.
Shut your big mouth.	Cierra esa bocaza.
That hurts.	Eso duele.
You think too much.	Piensan demasiado.
How romantic!	¡Qué romántico!
It poured.	Diluviaba.
Are you a teacher?	¿Es usted profesor?
Whose is that?	¿De quién es eso?
Thanks for asking.	Gracias por preguntar.
You're invited.	Estás invitada.
They're academic champions.	Ellos son campeones académicos.
I'll understand.	Lo entenderé.
Your breath stinks.	Te apesta la boca.
We won the contest.	Ganamos el concurso.
She liked it.	Le gustó.
Those were happy times.	Eran tiempos felices.
He was speaking.	Él estaba hablando.
What are you doing?	¿Qué estás haciendo?
Did you hear me?	¿Me oíste?
What's your last name?	¿Cómo te apellidas?
I'm almost ready.	Casi he terminado.
I felt responsible.	Me sentí responsable.
Tom is bald.	Tom está pelón.
He came running.	Él vino corriendo.
All is still.	Todo está en calma.
I stopped smoking.	Dejé de fumar tabaco.
It's not unusual.	No es raro.
Do I look OK?	¿Me veo bien?
Thank you so very much.	Muchísimas gracias.
You ignored me.	Me ignoraste.
I'll never leave you.	Nunca te dejaré.
That's flammable.	Eso es inflamable.
It wasn't luck.	No fue suerte.
I'm not scared.	No estoy asustado.
Please remain seated.	Quédense sentados, por favor.
Exhale.	Espira.
We're heading home.	Estamos yendo a casa.
Tom encouraged Mary.	Tom motivó a Mary.
You were overconfident.	Eras arrogante.
It's great.	Es grandioso.
Tom was sweating.	Tom estaba sudando.
This one's better.	Este es mejor.
Do you remember?	¿Lo recuerdas?
I'm feeling confused.	Me siento confundido.
We're all dying.	Nos estamos muriendo todos.
They were caught red-handed.	Les pillaron infraganti.
The suspect confessed.	El sospechoso confesó.
What language is this?	¿Qué idioma es?
They refused.	Se negaron.
I have no home.	No tengo casa.
I couldn't move.	No me podía mover.
Where's my family?	¿Dónde está mi familia?
You're my favorite.	Sos mi favorito.
I tripped.	Me tropecé.
I'm not racist.	No soy racista.
Apply in writing.	Aplica por escrito.
Nobody knows why.	Nadie sabe por qué.
Stay right there.	Quédate ahí.
Let them fight.	Déjalos pelear.
Be prepared.	¡Está preparado!
Nobody's infallible.	Nadie es infalible.
Good job, everyone!	¡Buen trabajo a todos!
It was excessive.	Fue excesivo.
What does he expect?	¿Qué espera?
What's new with you?	¿Qué te cuentas?
It's so unlikely.	Es tan improbable.
I accept your apologies.	Acepto sus disculpas.
These are genuine.	Éstos son verdaderos.
Hello, Tom.	¡Hola, Tom!
I deny everything.	Niego todo.
Can you chip in?	¿Puedes compartir gastos?
I'm absolutely fine.	Estoy completamente bien.
Don't be cruel.	No seas cruel.
Tom'll die.	Tom morirá.
I don't have any.	No tengo ninguno.
You're in luck.	Andas con suerte.
It's almost six.	Son casi las seis.
Lock the gate.	Cierra la cancela.
We loved Tom.	Queríamos a Tom.
I was wrong.	Estaba equivocado.
I was arrested.	Fui arrestada.
Stop them.	Detenlos.
Is that clock going?	¿Anda ese reloj?
We're still friends.	Todavía somos amigos.
You're ambitious.	Eres ambicioso.
She loves antiques.	Le encantan las antigüedades.
OK, listen up.	Bueno, escuchad.
She's my friend.	Es mi amiga.
You spilled your coffee.	Derramaste tu café.
I wasn't jealous.	No estaba celoso.
I'm about ready.	Estoy casi lista.
Aren't you hot?	¿No tenéis calor?
You could help me.	Me podrías ayudar.
Tom woke me up.	Tom me despertó.
Cook the rice.	Cocina el arroz.
Where were you yesterday?	¿Dónde estabas ayer?
Where's my comb?	¿Dónde está mi peine?
It was difficult.	Era difícil.
I hate French.	Odio el francés.
He hated lying.	Él odiaba mentir.
The book's white.	El libro es blanco.
I always walk.	Siempre camino.
I hate rules.	Odio las reglas.
It's a fox.	Es una zorra.
They'll call.	Llamarán.
That is all.	Ya está.
Get well soon!	¡Que te mejores!
Ask anyone.	Pregúntenle a cualquiera.
I need a favor.	Necesito una gauchada.
They are here.	Están aquí.
We'll ask Tom.	Le preguntaremos a Tom.
I was awake.	Estaba despierto.
We've got to help them.	Debemos ayudarlos.
We met today.	Nos vimos hoy.
This is delicious.	Esto está riquísimo.
Let's celebrate.	Celebremos.
They deserved it.	Se lo merecían.
Give me the key.	Entrégame la llave.
You're different.	Eres diferente.
We understand why.	Entendemos por qué.
I've been worried.	He estado preocupada.
Go get changed.	Ve a cambiarte.
He is influential.	Es influyente.
It was raining quietly.	Llovía quedito.
Never say that.	Nunca digas eso.
I'm not married.	No estoy casado.
Are you serious?	¿No estás bromeando?
He plays there.	Él juega allí.
Talk slowly.	Habla despacito.
They swam.	Ellos nadaban.
Where's the sunscreen?	¿Dónde está el bronceador?
Nothing will help.	Nada va a ayudar.
I like writing.	Me gusta la escritura.
You're cruel.	Es usted cruel.
Be supportive.	Apóyame.
Wow! That's cheap!	¡Ah! ¡Que barato!
Come back soon.	Vuelve pronto.
Are you sure?	¿Está seguro?
He talks fast.	Él habla rápido.
Someone's calling.	Alguien está llamando.
I'm not happy.	No estoy feliz.
You're in love.	Estás enamorado.
Can we come in?	¿Podemos entrar?
I fell in love.	Me enamoré.
It'll be dry soon.	Secará pronto.
I feel bad.	Me siento mal.
What beautiful flowers!	¡Qué flores tan bonitas!
He caught three fish.	Pescó tres peces.
It's started again.	Volvió a empezar.
I'd like that.	Eso me gustaría.
You're really beautiful.	Eres realmente hermoso.
I'll look it up.	Lo buscaré.
He needs glasses.	Él necesita lentes.
Stop bothering me!	¡Para ya de molestar!
Get out.	Salid.
Is it deep here?	¿Está hondo aquí?
Let's forget it.	Olvidémoslo.
You can park here.	Pueden estacionarse aquí.
Are you wearing shoes?	¿Llevas zapatos?
Do it again!	¡Hacedlo de nuevo!
Can I borrow it?	¿Puedo pedirlo prestado?
It's nearly dawn.	El amanecer está cerca.
Let me borrow that.	Préstamelo.
We're divorced.	Estamos divorciados.
Things happen.	Las cosas pasan.
Then what happened?	¿Entonces qué pasó?
I sell flowers.	Vendo flores.
Here's my number.	Aquí tienes mi número.
They gave up.	Abandonaron.
I shot myself.	Me disparé.
Why are you stuttering?	¿Por qué tartamudeas?
Come on in!	¡Pásenle!
Do you carry batteries?	¿Vendes pilas?
Tom didn't help.	Tom no ayudó.
It'd be a disaster.	Sería un desastre.
The tiger was killed.	Mataron al tigre.
Could we speak to you?	¿Podemos hablarte?
Love is confusing.	El amor es confuso.
Do your homework.	Haz los deberes.
They kidnapped me.	Me secuestraron.
Don't you hear it?	¿No lo oyes?
I have an assistant.	Tengo una ayudante.
He finished breakfast.	Él terminó su desayuno.
They're happy.	Son felices.
He doesn't lie.	Él no miente.
You're fired.	Estáis despedidas.
You didn't understand.	No entendiste.
You'd better hold your tongue.	¡Mejor, cállate!
I'm being watched.	Estoy siendo observado.
Do you have any brothers?	¿Tenés hermanos?
I feel cold.	Noto frío.
She came without notice.	Vino sin avisar.
You are very beautiful.	Eres muy bonita.
We should leave.	Deberíamos irnos.
Keep it on you.	Llévalo contigo.
Tom respects you.	Tom te respeta.
You go first.	Tú primera.
Put on your clothes.	Ponte la ropa.
Get into the car.	Sube al auto.
I need more space.	Necesito más espacio.
These are Tom's.	Estos son de Tom.
When can we eat?	¿Cuándo podemos comer?
We need to win.	Necesitamos ganar.
It's three o'clock.	Son las tres.
We value quality.	Valoramos la calidad.
I'm not perfect.	No soy perfecta.
I'm rich.	Soy rica.
I'm able to ski.	Sé esquiar.
Tom is likeable.	Tom es simpático.
Don't be disappointed.	No te decepciones.
You are naughty.	Eres un travieso.
They play soccer.	Juegan al fútbol.
I need this.	Necesito esto.
She likes to run.	Le gusta correr.
What do they need?	¿Qué necesitan?
This works every time.	Esto funciona siempre.
They'll like that.	Eso les gustará.
He threw the ball.	Tiró la bola.
We live together now.	Vivimos juntos ahora.
Save yourself.	Sálvate a ti mismo.
You're important.	Tú importas.
Do come in.	Pasa adentro.
Be objective.	Sean objetivos.
It's a tough choice.	Es difícil elegir.
