('regresalo', 'put it back')
('ahora estas solo ?', 'are you alone now ?')
('tom se puso el termometro en la boca', 'tom put the thermometer in his mouth')
('casi me muero de la risa', 'i laughed so much i thought i d die')
('tom no habla frances', 'tom doesn t speak french')
('es el mejor dentro de su especialidad', 'he s the best man in his field')
('no estoy mintiendo ahora', 'i m not lying now')
('te importaria llevar esta carta al correo por mi ?', 'would you mind mailing this letter for me ?')
('ella pidio algo de beber', 'she begged for something to drink')
('cuantos escalones tiene esta escalera ?', 'how many steps does this staircase have ?')
('nos sentamos ahi', 'we sat there')
('eso bastara', 'that will do')
('no tenemos idea de donde esta el', 'we have no idea about his whereabouts')
('le aguardamos manana a las diez', 'we expect him tomorrow at ten o clock')
('tu estas bien ?', 'are you okay ?')
('el tenia mucho dinero en el banco', 'he had a lot of money in the bank')
('me puedes arreglar mis zapatos ?', 'can you repair my shoes ?')
('tienes una coartada ?', 'do you have an alibi ?')
('tom esta enamorado de mary', 'tom is in love with mary')
('me gusta ese nombre', 'i like that name')
('dicen que una mirada vale mas que mil palabras', 'they say that one look is worth more than thousand words')
('necesitamos un poco mas de tiempo para preparar', 'we need a bit more time to prepare')
('de quien son estas botas ? son de lidya', 'whose boots are these ? they are lidya s')
('no pude volver a dormir', 'i couldn t get back to sleep')
('ha estado lloviendo desde el lunes pasado', 'it has been raining since last monday')
('tom estaba sentado leyendo', 'tom sat reading')
('yo tengo un hermano mayor y dos hermanas menores', 'i have one big brother and two little sisters')
('estas diciendo que no quieres ir ?', 'are you saying you don t want to go ?')
('nos quedamos', 'we re staying')
('tomas leyo en voz alta el documento', 'tom read the document out loud')
('tomas necesita saber la verdad', 'tom needs to know the truth')
('no estamos aqui para divertirnos', 'we re not here to have fun')
('estoy afectado', 'i m hit !')
('se que tom esta cansado', 'i know tom is tired')
('tom come como un pajaro', 'tom eats like a bird')
('el esta solo', 'he is alone')
('mary miro en su armario tratando de encontrar algo adecuado para ponerse', 'mary looked through her closet trying to find something suitable to wear')
('tom no puede recordar el nombre de su maestra de jardin de infantes', 'tom can t remember his kindergarten teacher s name')
('necesito una operacion ?', 'do i need an operation ?')
('el lugar esta completamente desierto', 'the place is completely deserted')
('es esto normal ?', 'is this normal ?')
('llevo mi propio negocio', 'i run my own business')
('la mesa es verde', 'the table is green')
('tengo que aprender a controlarme y a centrarme', 'i need to learn to control myself and focus')
('la firma era falsa', 'the signature was forged')
('cuando acaba ?', 'when does it end ?')
('tom fue el que convencio a mary para dejar de hacer eso', 'tom was the one who convinced mary to quit doing that')
('ella y yo hemos estado casadas durante anos', 'she and i have been married years')
('tom apago sus luces', 'tom turned his lights off')
('el esta padeciendo de perdida de memoria', 'he is suffering from loss of memory')
('tom sabe por que hiciste eso', 'tom knows why you did that')
('tenemos todavia una hora', 'we ve got an hour left')
('recibi su carta', 'i received your letter')
('vamos a pie ?', 'are we going on foot ?')
('despues de que hayas terminado de leer el libro ponlo de vuelta al sitio donde estaba', 'after you finish reading the book put it back where it was')
('tom se esta escondiendo debajo de la cama', 'tom is hiding under the bed')
('te detesto', 'i hate you')
('no soy culpable de nada', 'i m not guilty of anything')
('el muchacho perdio la oreja durante una pelea callejera', 'the boy lost his ear in a street fight')
('un poco de agua por favor', 'some water please')
('hay una taza sobre la mesa', 'there is a cup on the table')
('su madre le regano por llegar tarde a la cena', 'her mother scolded her for being late for supper')
('alguna vez se penso que habia vida inteligente en marte', 'it was once thought that there was intelligent life on mars')
('el estuvo jugando al tenis todo el dia', 'he played tennis all day long')
('los entornos rurales son muy tranquilos para mi', 'rural environments are too quiet for me')
('realmente confio en su habilidad', 'i really trust his ability')
('competi con el por el primer lugar', 'i competed with him for the first prize')
('ayude a tom a hacer algunas tareas', 'i helped tom do some chores')
('insisti de que modificaramos nuestro plan original', 'i insisted that we change our original plan')
('casi nadie le creia a ella', 'almost no one believed her')
('casi nunca tomo productos lacteos', 'i seldom eat dairy products')
('de verdad que no lo sabias ?', 'did you really not know that ?')
('encontro su llave y abrio la puerta', 'he found his key and opened the door')
('sugeriria el cambio siguiente', 'i d suggest the following change')
('de repente ocurrio algo inesperado', 'suddenly something unexpected happened')
('el es un tipo extrano', 'he s a strange guy')
('tom no quiere hacer esto', 'tom doesn t want to do this')
('europa no es un pais', 'europe isn t a country')
('todo el mundo conoce a ese viejo trampero', 'everybody knows that old trapper')
('todos los miembros del gabinete estaban presentes', 'every member of the cabinet was present')
('yo me quedo con el coche y el perro', 'i ll keep the car and the dog')
('tom no es un tonto', 'tom isn t a fool')
('como llego al teatro ?', 'how do i get to the theater ?')
('me queme con el sol', 'i got sunburned')
('el tiene interes en coleccionar insectos', 'he has an interest in collecting insects')
('tienes que haberlos visto alli', 'you must ve seen them there')
('que estas leyendo ahi tom ?', 'what are you reading there tom ?')
('me encanta vuestra manera de andar', 'i love the way you walk')
('me asombra que diga usted eso', 'i m amazed that you say that')
('se que tom es alergico a los cacahuates', 'i know tom is allergic to peanuts')
('baje', 'come on down')
('debes rehidratarte', 'you have to rehydrate')
('no te he visto nunca', 'i never saw you')
('ven aqui y sientate', 'come here and sit down')
('la nina adoptada vivio una vida feliz con su nueva familia', 'the adopted child lived a happy life with her new family')
('ven a las diez en punto', 'come at ten o clock sharp')
('se rasco la cabeza por costumbre', 'he scratched his head out of habit')
('pareces sorprendido', 'you look surprised')
('no podemos hacer nada respecto a ese problema en este momento', 'we can t do anything about that problem at this time')
('ella se fue deteriorando con la edad', 'she was weary with age')
('hay mucho trafico en esta calle', 'there is heavy traffic on this street')
('el bote se hundio hasta el fondo', 'the boat sank to the bottom')
('que quieres ?', 'what do you want ?')
('aprender un idioma no es facil', 'learning a language is not easy')
('pide lo imposible', 'she s asking for the impossible')
('comete todo', 'eat everything')
('muchos padres piensan que es importante que sus hijos coman antes de las p m', 'many parents think it s important for their children to eat before p m')
('estoy sentado solo en mi casa', 'i m sitting alone in my house')
('estaba confuso por la expresion de la cara de tom', 'i was confused by the expression on tom s face')
('no sabes que el fallecio hace dos anos ?', 'don t you know that he passed away two years ago ?')
('pocos estudiantes saben leer latin', 'few students know how to read latin')
('escribi la cancion para ella', 'i wrote the song for her')
('dijiste que estarias aqui para las', 'you said you d be here by')
('quien te dio esas flores ?', 'who gave you those flowers ?')
('japon mantiene relaciones amistosas con estados unidos', 'japan maintains friendly relations with the united states')
('estoy indignado con este sistema', 'i m disgusted with this system')
('el supermercado no tenia lo que yo queria', 'the supermarket didn t have what i wanted')
('cada tanto el lleva a sus hijos al zoologico', 'he often takes his children to the zoo')
('que tienes en las manos ?', 'what s that in your hands ?')
('por favor recuerda eso', 'please remember that')
('aqui esta la cuenta', 'here is the bill')
('aquello era un desastre', 'it was a disaster')
('vive cerca de la escuela', 'he lives in the neighborhood of the school')
('quiero encontrarme con tom', 'i want to meet with tom')
('ella siempre esta pensando en el', 'she thinks about him all the time')
('es correcto que un medico decida cuando deberia morir alguien ?', 'is it right for a doctor to decide when someone should die ?')
('tom es un sujeto adorable', 'tom is a lovable guy')
('el homicida se refugio en la montana', 'the murderer hid in the mountains')
('esta andando en patineta', 'he is skating')
('tom parece estar en plena forma', 'tom seems to be as fit as a fiddle')
('lo conociamos', 'we knew that')
('sabia que resultaria duro', 'i knew it would be hard')
('tom volvio a boston el ano pasado', 'tom came back to boston last year')
('no quiero hacerlo porque es peligroso y tonto', 'i don t want to do it because it s dangerous and it s stupid')
('estare alli mas o menos a las', 'you can count on me to be there by')
('he olvidado tu direccion', 'i ve forgotten your address')
('nunca olvidare tu amabilidad', 'i ll never forget your kindness')
('somos los mejores', 'we re the best')
('esta es una frase rara', 'this is a strange sentence')
('ya no puedo soportar el calor ni un momento mas', 'i can t put up with the heat any longer')
('la teoria es demasiado abstracta para mi', 'the theory is too abstract for me')
('no se adonde ir', 'i don t know where to go')
('a veces tom juega tenis con mary', 'tom sometimes plays tennis with mary')
('sabemos donde esta tom', 'we know where tom is')
('ellos amaban a tom', 'they loved tom')
('todavia tienes mi llave ?', 'do you still have my key ?')
('tomas voto', 'tom voted')
('hace anos que no me lo pasaba tan bien', 'i haven t had this much fun in years')
('tienes que mantener tus manos limpias', 'you must keep your hands clean')
('no tienes sueno ?', 'aren t you sleepy ?')
('que logica tiene ?', 'where is the logic in that ?')
('el es un chico alto', 'he is a tall boy')
('hasta las mas o menos', 'see you at about')
('pense que tom y mary estaban casados', 'i thought tom and mary were married')
('tu trabajo ha mejorado notablemente', 'your work has greatly improved')
('les importaria si me tomo el resto de la leche ?', 'would you mind if i drank the rest of the milk ?')
('a tom se le da bastante bien prever el tiempo', 'tom does a pretty good job of forecasting the weather')
('ella fue criada en francia', 'she was raised in france')
('no me puedo quejar', 'i can t complain')
('esta tienda vende ceramica', 'this store sells ceramics')
('la navidad es sin duda mi fiesta favorita', 'christmas is definitely my favorite holiday')
('tom no conocia en absoluto a esa mujer', 'tom didn t know that woman at all')
('divorciemonos', 'let s get divorced')
('me ignorabas', 'you ignored me')
('mantente consciente', 'stay awake')
('tom retiro la astilla del dedo de maria', 'tom removed the splinter from mary s finger')
('la primavera se esta retrasando este ano', 'spring is late this year')
('el juego empezo a la hora exacta', 'the play began exactly on time')
('pense que el autobus era gratis pero he tenido que pagar', 'i thought that the bus was free but i had to pay')
('cuanto tiempo entrenaste para obtener tal perfeccion ?', 'how long did you train in order to achieve such perfection ?')
('el le enseno ruso a sus hijos', 'he taught his children russian')
('tom tuvo exito', 'tom succeeded')
('por que no viene a visitarnos ?', 'why don t you come visit us ?')
('eres libre de marcharte', 'you re free to leave')
('yo aprecio un desafio', 'i enjoy a challenge')
('el equipo gano las semifinales y avanzo a la final', 'the team won the semifinals and advanced to the finals')
('la peor parte es que no siempre fue asi', 'the worst part is it wasn t always like this')
('todo esta cabeza abajo', 'everything is upside down')
('tom no pudo permitirse comprar la bicicleta que queria', 'tom couldn t afford to buy the bicycle he wanted')
('este rio desemboca en el oceano pacifico', 'this river flows into the pacific ocean')
('esta es la mejor epoca para abonar los campos', 'this is the best time to fertilize the fields')
('ver es creer', 'seeing is believing')
('creo que ellos me vieron', 'i think they saw me')
('tom no queria discutir con mary', 'tom didn t want to argue with mary')
('si yo fuera rica iria al extranjero', 'if i were rich i would go abroad')
('los monos se espulgan unos a otros', 'the monkeys are grooming each other')
('el quiere el dinero', 'he wants the money')
('los granjeros se la pasan quejando del clima', 'farmers always complain about the weather')
('me gustaria hablar de vuestra situacion', 'i d like to talk about your situation')
('estoy dispuesto a admitir que fue mi culpa', 'i m ready to admit that it was my fault')
('semejante idea es repugnante para ella', 'such an idea is abhorrent to her')
('a tom le fue bien en la prueba que dio ayer', 'tom did fairly well on the test he took yesterday')
('hace diez grados bajo cero ahora', 'it is ten degrees below zero now')
('si queres leer el reportaje integro accede a nuestro sitio', 'if you want to read the full report visit our site')
('el escribio una carta', 'he wrote one letter')
('a finales de agosto las fuerzas aliadas tomaron paris', 'in late august the allied forces captured paris')
('no seas tan ruidoso por favor', 'don t be so noisy please')
('ella vendra a las tres y cuarto', 'she ll come at quarter past three')
('tom va subiendo las escaleras', 'tom is going up the stairs')
('podria decirme como se va de aqui a park street ?', 'could you tell me how to get to park street from here ?')
('puedes quedarte hasta el lunes ?', 'can you stay till monday ?')
('muchas mujeres se quejan de sus maridos', 'many wives complain about their husbands')
('tom se tino el pelo castano oscuro', 'tom dyed his hair dark brown')
('tom tiene canas', 'tom has white hair')
('la sintaxis de los scripts de python es muy simple', 'the syntax of python scripts is very simple')
('espero que este bien', 'i hope he ll be ok')
('el dolor era mas intenso de lo que podia soportar', 'the pain was more than he could stand')
('no es negro ?', 'is it not black ?')
('creemos que el es honesto', 'we think that he s honest')
('tomas esta viniendo', 'tom s coming')
('ni siquiera puedo hacer eso', 'i can t even do that')
('puede tomarnos una foto ?', 'can you take a photo of us ?')
('mary y yo nos hicimos buenas amigas', 'mary and i became good friends')
('has tenido alguna enfermedad grave ?', 'have you had any serious illnesses ?')
('he estado ocupado', 'i have been busy')
('tom habitualmente cumple sus citas', 'tom usually keeps appointments')
('sabia que tom preguntaria eso', 'i knew tom would ask that')
('toma comida nutritiva', 'eat nutritious food')
('al fin la gema estaba en sus manos', 'at last the gem was in his hands')
('tom y mary son vegetarianos', 'tom and mary are vegetarians')
('se licencio en la facultad de derecho', 'he graduated from law school')
('despeja la mesa', 'clear off the table')
('eran muy populares', 'they were very popular')
('el cocodrilo atrapo a un nu mientras este intentaba cruzar el rio', 'the crocodile trapped the gnu as it tried to cross the river')
('deberias reconocer tu derrota', 'you should acknowledge your failure')
('esperemos que todo vaya bien', 'let s hope everything goes well')
('como lo iba a saber ?', 'how would i know ?')
('tom sabe que pedi prestado el dinero a maria', 'tom knows i borrowed the money from mary')
('tom tuvo una discusion con mary', 'tom had an argument with mary')
('entonces estabas solo verdad ?', 'you were alone at that time weren t you ?')
('estas seguro de que solo quieres agua ?', 'are you sure you just want water ?')
('tom no va a escuchar', 'tom won t listen')
('todos querian que lo hiciera', 'everybody wanted me to do it')
('tom es diferente', 'tom is different')
('ella vertio agua hirviendo en la taza', 'she poured boiling water into the cup')
('estas oyendo cosas', 'you are hearing things')
('complaceme', 'humor me')
('ella lo rechazo', 'she rejected him')
('ya casi se te han acabado los treinta minutos', 'your thirty minutes are almost up')
('el concierto fue exitoso', 'the concert was successful')
('has visto alguna vez esta bandera ?', 'have you ever seen this flag ?')
('mi madre estaba llorando', 'my mother was crying')
('el comandante britanico les ordeno a sus hombres que descansaran por la noche', 'the british commander ordered his men to rest for the night')
('eso duele ?', 'does that hurt ?')
('golpea el hierro mientras este caliente', 'strike while the iron is hot')
('ponle un poco mas de leche a mi te por favor', 'add a little more milk to my tea please')
('cometi un gran error', 'i made a big mistake')
('tengo todo lo que necesito', 'i have everything i need')
('todos los miembros tienen acceso a estos libros', 'all members have access to these books')
('no te ensenaron nada tus papas ?', 'didn t your parents teach you anything ?')
('esta fotografia me recuerda a mi infancia', 'this photograph reminds me of my childhood')
('te invitare a comer sushi', 'i ll treat you to sushi')
('no es necesario que tu hagas eso', 'it s not necessary that you do it')
('quiero comermelo', 'i want to eat it')
('finalmente llego al hotel', 'he finally reached the hotel')
('quiero mi propia habitacion', 'i want my own room')
('que tiene que ver tom con esto ?', 'what does tom have to do with this ?')
('es esto falso ?', 'is this fake ?')
('te gusta el apartamento ?', 'do you like the apartment ?')
('solo puedo importar archivos gif', 'i can only import gif files')
('yo veo television por la noche', 'i watch television in the evening')
('yo odiaba a tom', 'i hated tom')
('creo que el esta mintiendo', 'i think he s lying')
('tom encontro las llaves que penso haber perdido', 'tom found the keys he thought he had lost')
('bienvenido de vuelta', 'welcome back')
('por favor podria firmar este documento ?', 'can you please sign this document ?')
('estuvieron en la playa al solano', 'they were sunbathing on the beach')
('cepillense los dientes', 'brush your teeth')
('acaso no era tu novio ?', 'wasn t he your boyfriend ?')
('hubo un gran incendio cerca de mi casa anoche', 'there was a big fire near my house last night')
('cerca de mil personas participaron en la manifestacion', 'nearly a thousand people participated in the demonstration')
('tom no hace nada mas que ver television todo el dia', 'tom does nothing but watch tv all day')
('una erupcion revento en su cuello', 'a rash broke out on her neck')
('no se su nombre pero la conozco de vista', 'i don t know her name but i do know her by sight')
('el parlamento aprobo la nueva ley la semana pasada', 'parliament approved the new law last week')
('por que deberia creer eso ?', 'why should i believe that ?')
('bajale la llama', 'turn the flame down low')
('tom no estara contento de verte', 'tom won t be happy to see you')
('deberias ayudar a tu padre', 'you should help your father')
('cuantas veces a la semana nadas ?', 'how many times a week do you swim ?')
('yo soy quien trajo a tom aqui', 'i m the one who brought tom here')
('muchisimas gracias', 'thank you ever so much')
('tomas nos paso a buscar al aeropuerto', 'tom picked us up at the airport')
('estoy aprendiendo dos lenguas extranjeras', 'i m learning two foreign languages')
('reclamare lo que me pertenece', 'i ll take what s mine')
('este invierno es calido', 'this winter is warm')
('por que el nunca puede hacer nada ?', 'why can he never do anything ?')
('quiero hacer un poco de ejercicio', 'i want to do a little physical exercise')
('este camello es tan manso que cualquiera puede montarlo', 'this camel is so tame that anyone can ride it')
('ella debe haber dejado la llave del coche en su habitacion', 'she may have left her car key in her room')
('tom durmio en el tren', 'tom slept on the train')
('desearia poder averiguar como controlar mi apetito', 'i wish i could figure out how to control my appetite')
('es tarde apaga la tele !', 'it s late turn off the tv')
('tom se inclino hacia delante y dio a mary un beso en la mejilla', 'tom leaned forward and gave mary a kiss on the cheek')
('creo de veras que tom te gustaria', 'i really think you d like tom')
('por que no vais a jugar con tom ?', 'why don t you go play with tom ?')
('me quede dormida viendo television', 'i fell asleep while watching tv')
('ella se puso calcetines', 'she put on socks')
('me gustaria vivir en nueva york', 'i d like to live in new york')
('el cohete se elevo', 'the rocket went up')
('mi madre esta en contra de fumar', 'my mother is against smoking')
('parece fascinante', 'it looks fascinating')
('cualquier estudiante puede resolver este problema', 'any student can solve this problem')
('jamas me perdonaste no es asi ?', 'you ve never forgiven me have you ?')
('un mexicano le enseno espanol', 'a mexican taught him spanish')
('perdone puedo abrir la ventana ?', 'excuse me may i open the window ?')
('los aplausos eran ensordecedores', 'the cheers were deafening')
('esta bien eso ?', 'is that ok ?')
('vistete rapido y sigueme', 'get dressed quickly and follow me')
('estoy acostumbrado a trabajar toda la noche', 'i m used to working all night')
('donde esta el periodico de hoy ?', 'where s today s newspaper ?')
('corre rapido o llegaras tarde al colegio', 'run fast or you will be late for school')
('eso es otro problema', 'that s another matter')
('no he escuchado la radio durante mucho tiempo', 'i haven t listened to the radio in a long time')
('el tren llego con retraso por culpa de la nieve', 'owing to the snow the train was delayed')
('tom es el lider', 'tom is the leader')
('el se mantuvo callado', 'he remained silent')
('tom se escabullo de la sala de clases', 'tom slipped out of the classroom')
('respira profundo y calmate', 'take a deep breath and calm down')
('los patos se alimentan de gusanos crustaceos insectos acuaticos y algas', 'ducks feed on worms crustaceans aquatic insects and algae')
('el ano escolar empieza el de abril', 'the school year begins on the th of april')
('sos inteligente', 'you re intelligent')
('esta es la casa de tom', 'it s tom s house')
('se que resulto molesto', 'i know that i m annoying')
('no fuimos atacados', 'we weren t attacked')
('te olvidaste de comprar huevos ?', 'did you forget to buy eggs ?')
('por favor quitate toda la ropa de cintura para abajo', 'please take off all of your clothes from the waist down')
('ella fue a ese concierto ?', 'did she go to that concert ?')
('te han abandonado tus amigos ?', 'have your friends deserted you ?')
('tom tiene un monton de trabajo esta semana', 'tom has a lot of work to do this week')
('ya era hora de que alguien hiciera algo con el alto coste del cuidado medico', 'it s about time somebody did something about the high cost of medical care')
('solo espero que no sea demasiado tarde', 'i only hope it s not too late')
('que tipo de comida comiste ?', 'what kind of meal did you eat ?')
('mi frances es patetico', 'my french is pathetic')
('no tengo nada que ver con eso', 'i have nothing to do with it')
('estamos mejor', 'we re better')
('comienza a correr', 'start running')
('eres mayor que tom ?', 'are you older than tom ?')
('elige uno u otro', 'choose either one or the other')
('dentro de poco nuevos soldados remplazaran a los que cayeron en combate', 'new soldiers would soon take the place of those lost in battle')
('me seque con la toalla que me paso tom', 'i dried myself with the towel that tom handed me')
('deja de hacerme dano', 'stop hurting me')
('espero de veras que nadie nos viera hacerlo', 'i really hope that nobody saw us doing that')
('hay millones de estrellas en el universo', 'there are millions of stars in the universe')
('detenlo', 'stop it')
('mis pies son pequenos comparados con los tuyos', 'my feet are small compared to yours')
('nadie va a hacerte dano', 'nobody s going to hurt you')
('me dejas un boli ?', 'can you loan me a pen ?')
('no te rindas', 'don t give in')
('el tiene que ser tonto para hacer eso', 'he must be a fool to do so')
('tengo que regar las flores', 'i have to water the flowers')
('no me digas que nunca has estado enamorado', 'don t tell me you ve never been in love')
('mucha gente asistio a su funeral', 'many people attended her funeral')
('tom bajo mucho de peso', 'tom lost a lot of weight')
('todos nosotros aprobamos el plan', 'all of us approved of the plan')
('el no podia hablar bien frances', 'he couldn t speak french well')
('eso es muy grande', 'that s very big')
('ella lo observo comer', 'she watched him eat')
('no juego al voleibol', 'i don t play volleyball')
('a mi no me parece gracioso', 'it doesn t seem funny to me')
('cuantos dias te vas a quedar en boston ?', 'how many days will you stay in boston ?')
('es realmente una historia bastante buena', 'it is really quite a good story')
('tom sentia que le debia a maria una explicacion', 'tom felt he owed mary an explanation')
('tom esta en la otra habitacion', 'tom is in the other room')
('al fin termine mi trabajo', 'at last i completed my work')
('dime por favor', 'please tell me')
('no puedo abrir la puerta tienes tu la llave ?', 'i can t open the door do you have the key ?')
('deberias estar agradecido', 'you should be grateful')
('hay que hacerlo', 'it has to be done')
('de donde vienen ellos ?', 'where do they come from ?')
('me alegra oir que quieres vivir en escocia', 'i am really glad to hear that you want to live in scotland')
('tom tiene dos casas y un bote', 'tom owns two houses and a boat')
('tom queria que mary aprenda frances', 'tom wanted mary to learn french')
('no puedes pararme', 'you can t stop me')
('sientase libre de contactarme', 'feel free to contact me')
('olvidaron poner llave a la puerta', 'they forgot to lock the door')
('tom habla frances tan bien como yo', 'tom speaks french as well as me')
('quiero ser tu amigo', 'i want to be your friend')
('nadie sabe que decir', 'nobody knows what to say')
('el es una persona muy egoista', 'he s a very selfish person')
('de veras que no te gusto ?', 'do you really not like me ?')
('quien te acompano ?', 'who accompanied you ?')
('que te gusta hacer cuando hace calor ?', 'what do you like to do when it s hot ?')
('la verdad es que tengo otro compromiso', 'the fact is that i have another appointment')
('como esta el cuello de tom ?', 'how s tom s neck ?')
('el se quito las gafas', 'he took off his glasses')
('tom era casado pero no usaba anillo', 'tom was married but he didn t wear a ring')
('no te comas mis patatas fritas', 'don t eat my french fries')
('quien esta tocando el piano ?', 'who is playing the piano ?')
('que documentos necesitamos nosotros archivar ?', 'what forms do we need to file ?')
('me gustaria hablar contigo sobre tus notas en la escuela', 'i d like to talk to you about your grades in school')
('tom se sonrojo', 'tom blushed')
('su discurso nos impresiono mucho', 'his speech impressed us very much')
('puedes decirnos por que tom esta haciendo esto ?', 'can you tell us why tom is doing that ?')
('usted debe haber hecho mucho dinero', 'you must ve made a lot of money')
('podrias apagar el televisor ?', 'could you turn off the tv ?')
('ella dijo que lo habia conocido el dia anterior', 'she said she had met him on the previous day')
('a veces eres mas poco imaginativo', 'sometimes you re so unimaginative')
('maria se gana la vida cosiendo', 'mary makes her living by sewing')
('espero que cambies de opinion', 'i hope you change your mind')
('si puedes ver tu aliento cuando exhalas sabes que hace frio', 'if you can see your breath when you exhale you know it s cold')
('tom lo averiguara tarde o temprano', 'tom will find out sooner or later')
('respeto tus ideas', 'i respect your ideas')
('caminar es el mejor ejercicio', 'walking is the best exercise')
('dicen que soy una vieja', 'they say that i m an old woman')
('ella lleva una mochila a su espalda', 'she is carrying a backpack on her back')
('lo vi saliendo del hotel', 'i saw him coming out of the hotel')
('esta caja es muy pesada asi que no puedo transportarla', 'this box is very heavy so i can t carry it')
('en muchas culturas los hombres y las mujeres se visten de manera diferente', 'in many cultures men and women dress differently')
('tom queria que mary limpiara la tina', 'tom wanted mary to clean the bathtub')
('le mostre mi dormitorio', 'i showed her my room')
('el carro de tom fue confiscado', 'tom s car was impounded')
('no te pares', 'don t stand up')
('tom normalmente no muestra mucho sus sentimientos', 'tom normally doesn t show his feelings very much')
('le dije a tom que no venga hoy', 'i told tom not to come today')
('maria es una nina buena', 'mary is a good girl')
('donde puedes conseguir el mejor pan recien hecho ?', 'where can you get the best fresh bread ?')
('esto esta descompuesto', 'this is broken')
('acabo de enterarme de la noticia', 'i ve just learned the news')
('tenemos visita', 'we have a guest')
('necesito que le eches un vistazo a esto', 'i need you to take a look at this')
('quereis ir al cine ?', 'do you want to go to the movies ?')
('eres tu el alcalde ?', 'are you the mayor ?')
('quieres sentarte en otro lugar ?', 'do you want to sit somewhere else ?')
('el estanque se congelo', 'the pond froze over')
('la reunion es manana', 'the meeting is tomorrow')
('tiene sentido esta frase ?', 'does this sentence make sense ?')
('antes te respetaba', 'i used to respect you')
('me doy una ducha casi todos los dias', 'i take a shower almost every day')
('nos mudamos a nueva york el otono pasado', 'we moved to new york last fall')
('tom puso todos sus huevos en una canasta', 'tom put all his eggs in one basket')
('hay una mancha de grasa', 'there s a grease spot')
('que hara tom en boston ?', 'what ll tom be doing in boston ?')
('el ano pasado nevo mucho', 'there was a lot of snow last year')
('tom esta tomando fotos', 'tom is taking pictures')
('abramos la ventana', 'let s open the window')
('con que frecuencia pasa eso ?', 'how often does that happen ?')
('a que horas abre el banco ?', 'what time does the bank open ?')
('que dolor', 'what a pain !')
('aquel cuchillo corta bien', 'that knife cuts well')
('le pedi que me llamara', 'i asked you to call me')
('su plan fue puesto en accion', 'his plan was put into action')
('haz lo que quieras', 'do what you like')
('se turnaban para beber de la fuente', 'they took turns drinking from the water fountain')
('suele caminar con la mano en el bolsillo', 'he often walks with his hand in his pocket')
('tu padre habria estado muy orgulloso de ti', 'your father would have been very proud of you')
('yo fui al mercado', 'i went to the market')
('manana llevare los libros a la biblioteca', 'tomorrow i ll take the books to the library')
('estamos listos', 'we re ready')
('eso es muy peligroso', 'that s very dangerous')
('tom esta en muy mala forma', 'tom is in horrible shape')
('y tu bebe ?', 'where s your baby ?')
('el se mejoro otra vez', 'he got well again')
('tom no puede tocar la guitarra', 'tom can t play the guitar')
('ella no me menciono el accidente', 'she didn t mention the accident to me')
('eres tan bonita como yo recuerdo', 'you re as beautiful as i remember')
('las ratas son el origen de la plaga', 'rats carry the plague')
('que deberia hacer a continuacion ? se dijo a si misma', 'what should i do next ? she said to herself')
('tom y mary son intimos amigos', 'tom and mary are close friends')
('estaban a punto de perder la paciencia', 'their patience was about to give out')
('juntemonos pasado manana', 'let s meet the day after tomorrow')
('el lo corto con el cuchillo que recibio como regalo de su hermano', 'he cut it with the knife that he received as a present from his brother')
('el restaurante siempre esta lleno', 'the restaurant is always packed')
('de quien es este boligrafo ?', 'whose pen is this ?')
('cual es la norma ?', 'what s the rule ?')
('exijo saber que esta ocurriendo aqui', 'i demand to know what s going on here')
('odio estar aqui', 'i hate being here')
('la direccion de email que introdujiste ya esta siendo utilizada', 'the email address you entered is already in use')
('esto huele estupendo ! que estas cocinando ?', 'this smells great ! what are you cooking ?')
('tenes amigos ?', 'do you have any friends ?')
('tom detesta ir al colegio', 'tom hates going to school')
('el grito fuera !', 'he shouted get out !')
('bueno comamos', 'well let s eat')
('hay un templo muy antiguo en la ciudad', 'there is a very old temple in the town')
('la ropa humeda se pega al cuerpo', 'wet clothes cling to the body')
('tenemos que hacerlo el lunes', 'we ve got to do that on monday')
('tom se paro', 'tom stopped')
('el acusado es inocente hasta que se demuestre que es culpable', 'the accused is innocent until proven guilty')
('no puedo seguir trabajando para ti', 'i can t work for you anymore')
('esta manana me he levantado mas temprano que de costumbre', 'this morning i got up earlier than usual')
('estais aqui para ayudarnos ?', 'are you here to help us ?')
('puedo repetirlo una y otra vez', 'i can repeat it again and again')
('sabias que ella es buena preparando cafe ?', 'did you know she is good at making coffee ?')
('lo que importa no es en que universidad te has licenciado sino lo que aprendiste mientras estabas alli', 'what s important isn t which university you ve graduated from but what you learned while you were there')
('tiene un cuerpo fuerte', 'he has a strong body')
('tom dejo claro lo que esperaba que nosotros hicieramos', 'tom made it quite clear what he expected us to do')
('hay leche en el frigorifico', 'there s milk in the fridge')
('me gustaria discutir algunos detalles', 'i would like to discuss a few details')
('puedo pedirte una cosita ?', 'can i ask you a favor ?')
('tom adivino la contrasena de mary', 'tom guessed mary s password')
('tengo un asunto complicado que quiero comentar contigo', 'i have a complicated matter i want to discuss with you')
('donde aparcasteis el coche ?', 'where did you park your car ?')
('tuve una buena nota en ingles', 'i got a good grade in english')
('pense que tom prepararia desayuno', 'i thought tom would make breakfast')
('los bomberos les rescataron del ascensor', 'the firefighters rescued them from the elevator')
('se que lo ultimo que quieres es ayudarme', 'i know that the last thing you want to do is help me')
